superevent_id	classification	distance	area(90)	vol(90)	HasNS	HasRemnant	BNS	NSBH	BBH	Terrestrial
S240514x	BBH	2447.949201406751	270.52259784199407	280218099.052633	0.0	0.0	0.0	3.042134728877678e-29	0.9999817812626888	1.8218737311226363e-05
S240515m	BBH	3534.130392215778	978.1903210608534	2476797103.6317296	0.0	0.0	2.9867100010133488e-28	2.385569909024657e-26	0.9999999999999569	4.3076653355456074e-14
S240520cv	BBH	1266.9635212821283	370.04205982520176	115251733.41040355	0.0	0.0	0.0	0.031430040949648276	0.9668201480122182	0.0017498110381335419
S240525p	BBH	5277.980740695931	1910.222457462712	10566247960.526468	0.0	0.0	2.266423749803882e-12	7.564635215308353e-09	0.9882346874731851	0.011765304959913347
S240527en	BBH	7165.618626811686	1778.815715900425	15664769406.259432	0.0	0.0	0.0	0.0008984103265175224	0.999074803615015	2.6786058467509477e-05
S240527fv	BBH	1104.2515096173177	25.838399129941354	4737066.207278815	0.0	0.0	7.91357367199417e-14	8.2851118505232e-10	0.9903634700746035	0.009636529096806123
S240530a	BBH	1186.2975566174225	984.2908656335685	316662995.8512418	0.0	0.0	3.729410921769972e-14	1.8811243463505872e-11	0.9951805663352796	0.004819433645871785
S240531bp	BBH	4316.842600985201	1648.39687275717	6341156291.5487795	0.0	0.0	0.0	9.997059385126347e-12	0.9999935106968072	6.489293195799384e-06
S240601co	BBH	1363.895740651716	1079.7026528593437	378743404.1102524	0.0	0.0	0.0	0.0018838358952113522	0.9978909871047886	0.000225177
S240615dg	BBH	1322.3869458089628	8.056908553871658	1860030.5083814722	0.0	0.0	0.0	2.6383659951116494e-65	0.9999833274557517	1.667254424830844e-05
S240615ea	BBH	3400.4083391261565	974.3526597982882	2236909203.9030714	0.0	0.0	0.0	7.456382858784337e-13	0.9993827947738477	0.0006172052254065363
S240618ah	BBH	7753.657719901605	5360.380230998236	52514792267.41064	0.0	0.0	0.0	1.6221979343432606e-05	0.9623081475539678	0.03767563046668876
S240621dy	BBH	1180.6944655964846	34.063994623991384	6996494.423770821	0.0	0.0	0.0	4.4744482294867354e-99	1.0	0.0
S240621eb	BBH	4377.20503002772	1776.6544544406645	6891558473.301307	0.0	0.0	0.0	1.6985079977107557e-09	0.9987316159732078	0.00126838232828419
